Area,Activity Name,Activity Descreption,Label,Sub Area,Industries to which it applies,Audit Type,Entities,Task Name,Estimated Hours,Auditing Standard,IAS,Process Note,,,
Companies Act 1956,Applicability Check List,Check if CARO report is applicable to year under Audit,Regulatory,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Check if the client falls in exempted category,,Para 1 and 2,,1. Process Note. Applicability.doc,,,Control and Process review
Companies Act 1956,"whether company is maintaining proper records showing full particulars, including quantitative details and situation of Property, Plant and Equipment;","whether company is maintaining proper records showing full particulars, including quantitative details and situation of Property, Plant and Equipment;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Whether Property, plant and equipment register is maintained;",,3 (i) (a) (A),,NA,,,Assets
Companies Act 1956,"whether company is maintaining proper records showing full particulars, including quantitative details and situation of Property, Plant and Equipment;","whether company is maintaining proper records showing full particulars, including quantitative details and situation of Property, Plant and Equipment;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If yes, whether it includes the details of the situation of fixed assets (Location) / and quantitative details?",,3 (i) (a) (A),,NA,,,Liability
Companies Act 1956,whether the company is maintaining proper records showing full particulars of intangible assets;,whether the company is maintaining proper records showing full particulars of intangible assets;,Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Whether records for intangible assets maintained,,3 (i) (a) (B),,NA,,,Income
Companies Act 1956,whether the company is maintaining proper records showing full particulars of intangible assets;,whether the company is maintaining proper records showing full particulars of intangible assets;,Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If yes, full particulars maintained?",,3 (i) (a) (B),,NA,,,Expenses
Companies Act 1956,"whether these Property, Plant and Equipment have been physically verified by the management at reasonable intervals; whether any material discrepancies were noticed on such verification and if so, whether the same have been properly dealt with in the books of account;","whether these Property, Plant and Equipment have been physically verified by the management at reasonable intervals; whether any material discrepancies were noticed on such verification and if so, whether the same have been properly dealt with in the books of account;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Whether physical verification made?

If yes, take the copy of the physical verification report for record purpose.

Compare the physical records with book records.",,3 (i) (b),,NA,,,Business Review Activities
Companies Act 1956,"whether these Property, Plant and Equipment have been physically verified by the management at reasonable intervals; whether any material discrepancies were noticed on such verification and if so, whether the same have been properly dealt with in the books of account;","whether these Property, Plant and Equipment have been physically verified by the management at reasonable intervals; whether any material discrepancies were noticed on such verification and if so, whether the same have been properly dealt with in the books of account;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Whether any discrepancy on physical verification noticed as compared to the book records?,,3 (i) (b),,NA,,,Global Review of Accounts
Companies Act 1956,"whether these Property, Plant and Equipment have been physically verified by the management at reasonable intervals; whether any material discrepancies were noticed on such verification and if so, whether the same have been properly dealt with in the books of account;","whether these Property, Plant and Equipment have been physically verified by the management at reasonable intervals; whether any material discrepancies were noticed on such verification and if so, whether the same have been properly dealt with in the books of account;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Whether discrepancies adjusted?,,3 (i) (b),,NA,,,Off Balance sheet
Companies Act 1956,"whether the title deeds of all the immovable properties (other than properties where the company is the lessee and the lease agreements are duly executed in favour of the lessee) disclosed in the financial statements are held in the name of the company, if not, provide the details thereof in the format below:-","whether the title deeds of all the immovable properties (other than properties where the company is the lessee and the lease agreements are duly executed in favour of the lessee) disclosed in the financial statements are held in the name of the company, if not, provide the details thereof in the format below:-",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a list of all immovable properties (other than taken on lease, for which lease deed in the favour in the company) as per the Note of Property, Plant and Equipment. (The total should match with the Gross Block).",,3 (i) (c),,NA,,,Confirmation and Representation
Companies Act 1956,"whether the title deeds of all the immovable properties (other than properties where the company is the lessee and the lease agreements are duly executed in favour of the lessee) disclosed in the financial statements are held in the name of the company, if not, provide the details thereof in the format below:-","whether the title deeds of all the immovable properties (other than properties where the company is the lessee and the lease agreements are duly executed in favour of the lessee) disclosed in the financial statements are held in the name of the company, if not, provide the details thereof in the format below:-",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Whether all these immovable properties are in the name of the company?,,3 (i) (c),,NA,,,Permanent Audit File
